2024-08-05 16:11:39,841 - Training started for class: carpet
2024-08-05 19:25:15,553 - Epoch [132/200], Loss: 0.4627
2024-08-05 19:25:37,452 - Epoch [133/200], Loss: 0.4103
2024-08-05 19:25:58,906 - Epoch [134/200], Loss: 0.5055
2024-08-05 19:26:19,365 - Epoch [135/200], Loss: 0.4671
2024-08-05 19:26:40,378 - Epoch [136/200], Loss: 0.4480
2024-08-05 19:27:03,472 - Epoch [137/200], Loss: 0.4057
2024-08-05 19:27:25,980 - Epoch [138/200], Loss: 0.3815
2024-08-05 19:27:46,203 - Epoch [139/200], Loss: 0.3912
2024-08-05 19:28:03,331 - Epoch [140/200], Loss: 0.3654
2024-08-05 19:28:34,550 - Pixel Auroc: 0.919, Sample Auroc: 0.912, Pixel Aupro: 0.810
